id,framerate,frames,bitrate,duration,width,height,size
84,UUXx-RSyh4o,30.40625,973,2490686,32.522,1280,720,10125264
85,uW9nNwItmXE,30.0,4326,1138604,144.546,640,480,20572587
86,uwDu-EZwePg,30.0,1721,439931,57.333,480,360,3152821
87,Ux4g-IKTri0,30.075,7218,4567391,240.692,1920,1080,137416836
88,UZp0-FV68bI,23.0,4516,2774672,188.36,1280,720,65329665
89,UzpL-AdSv6c,12.0,391,52323,32.6,176,144,213220
90,V1KZ-BqeJGE,29.0,5790,2939326,193.21167,1280,720,70989005
91,v2bD-Lva-yI,12.0,2442,54596,203.545,176,144,1389109
92,v3GY-ffB5Fw,29.0,3780,538181,126.09299999999999,480,360,8482611
93,V3To-R6mTKk,12.0,5213,56858,434.445,176,144,3087725
94,V674-yOUpuM,25.0,5982,1124629,239.24,640,480,33632043
95,v8V3-XagMjc,29.978154999999997,49404,1944214,1648.509,1280,720,400631808
96,V_AA-k1xxz0,29.0,44199,1674691,1474.7916,1280,720,308727640
97,vAGZ-gjOr9Q,12.0,991,55566,82.615,176,144,573830
98,VAjG-8nzOq0,29.0,2940,2777960,98.10333,1280,720,34065891
99,vDWK-3F0rGM,12.0,8079,54462,673.285,176,144,4583622
